#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-29T15:41:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61f55e983eb8ef	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:B/gcvs&tab:{B/gcvs/gcvs_cat}&key:source=B/gcvs/gcvs_cat&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/gcvs/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#-out=magMax
#magMax=<14.2
#-out=Epoch
#-out=Period
#Period=<3
#-out=SpType
#-out=Exists
#-out=VarName
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_102025
#Name: B/gcvs
#Title: General Catalogue of Variable Stars (Samus+, 2007-2017)
#Table	B_gcvs_gcvs_cat:
#Name: B/gcvs/gcvs_cat
#Title: GCVS catalog (GCVS 5.1, version Oct, 2020)
#Column	GCVS	(A10)	Variable star designation (2)	[ucd=meta.id;meta.main]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A11)	? Hours RA, equinox J2000.0 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degrees Dec, equinox J2000.0 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Epoch	(F11.5)	? Epoch for maximum light, Julian days (G5)	[ucd=time.epoch]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	Spectral type	[ucd=src.spType]
#Column	Exists	(A12)	Cases of non-existence of the variable etc. (12)	[ucd=meta.note]
#Column	VarName	(A11)	Variable star designation (17)	[ucd=meta.id]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Epoch|Period|SpType|Exists|VarName
EL CMa    |x|06 37 38.95|-20 01 13.4|EA        |12.270|52239.73200|    2.6279630000|                 |            |EL    CMa
EQ CMa    |x|06 48 51.62|-16 18 03.7|EA        |12.200|55092.86300|    2.2915010000|                 |            |EQ    CMa
EY CMa    |*|06 53 32.91|-20 13 27.3|BCEP      | 4.790|           |    0.1845700000|B1Ib             |            |EY    CMa
FF CMa    |*|07 10 30.63|-30 39 45.0|EB        | 7.330|56627.67400|    1.2133752000|B2V+B2V          |            |FF    CMa
FL CMa    |x|07 00 02.91|-14 09 38.9|DCEP:     |13.300|54213.49600|    2.7816000000|                 |            |FL    CMa
FM CMa    |x|07 05 42.09|-12 48 42.6|EA        | 7.260|54247.46800|    2.7894278000|B1V              |            |FM    CMa
FN CMa    |*|07 06 40.77|-11 17 38.5|BCEP      | 5.380|           |    0.1237700000|B0.5IV           |            |FN    CMa
FQ CMa    |x|07 04 43.83|-28 43 54.5|EA        |10.980|54376.85750|    0.7247355000|                 |            |FQ    CMa
FT CMa    |x|06 44 28.47|-31 04 13.9|BE        | 5.130|           |    2.6300000000|B2IIIe           |            |FT    CMa
FU CMa    |*|07 00 19.36|-22 07 08.6|BE        | 6.480|           |    1.1093700000|B3Vnn            |            |FU    CMa
FZ CMa    |*|07 02 42.61|-11 27 11.6|EA        | 8.010|53680.84900|    1.2730366000|B2.5IV-Vn        |            |FZ    CMa
GU CMa    |*|07 01 49.51|-11 18 03.3|INA       | 6.480|           |    0.8050800000|B2Vne            |            |GU    CMa
HH CMa    |x|06 57 14.77|-22 12 10.3|BCEP:     | 6.590|           |    0.1900000000|B1-2III          |            |HH    CMa
HK CMa    |*|06 47 01.48|-21 00 55.4|SXARI     | 6.000|           |    2.1804500000|B7pHewSi         |            |HK    CMa
HN CMa    |*|07 12 24.18|-27 28 29.1|DSCTC     | 6.610|           |    0.2220000000|A6:V             |            |HN    CMa
IM CMa    |x|07 18 53.22|-24 57 23.3|EA        |10.320|54536.71000|    1.7894720000|B5V              |            |IM    CMa
IO CMa    |x|06 12 22.45|-30 28 53.4|EA        | 8.380|53113.53940|    2.8721377000|A1mA5-F2         |            |IO    CMa
IP CMa    |x|06 12 46.33|-17 45 47.6|LPB       | 6.440|           |    2.5476000000|B5II/III         |            |IP    CMa
IQ CMa    |x|06 12 37.25|-25 16 07.4|EB        | 9.160|56655.01850|    0.7313767000|A8V              |            |IQ    CMa
IS CMa    |x|06 20 56.41|-29 40 15.1|EW        | 6.930|48500.35900|    0.6169820000|F3V              |            |IS    CMa
IT CMa    |x|06 21 58.17|-26 22 10.9|LPB       | 7.820|           |    0.7955500000|B8               |            |IT    CMa
IY CMa    |*|06 28 39.24|-32 22 16.6|E:        | 5.640|           |    0.5583400000|B4Ve             |            |IY    CMa
KK CMa    |x|06 30 26.61|-15 06 07.7|ELL:      | 8.130|51966.54200|    2.0086700000|B5IV             |            |KK    CMa
KL CMa    |*|06 30 29.79|-14 57 15.7|EA        | 6.730|48170.26100|    1.7622500000|B8V              |            |KL    CMa
KP CMa    |x|06 45 57.94|-28 48 43.5|LPB       | 7.580|           |    1.0687400000|B5III            |            |KP    CMa
LM CMa    |x|06 55 11.73|-21 52 18.9|ACYG:     | 8.640|           |    2.3141500000|B9Ib/II          |            |LM    CMa
LQ CMa    |x|06 59 44.55|-28 23 59.0|BE:       | 7.120|           |    1.4956000000|B3V(n)           |            |LQ    CMa
LT CMa    |*|07 04 02.62|-12 17 17.4|EA        | 7.430|48388.53700|    1.7595350000|B5III            |            |LT    CMa
LV CMa    |x|07 06 30.47|-11 32 16.4|EB        | 8.620|52886.89940|    1.1834807000|B9.5V            |            |LV    CMa
MM CMa    |x|07 12 12.22|-25 56 33.3|LPB       | 5.840|           |    2.7294500000|B2IV/V           |            |MM    CMa
MP CMa    |x|07 14 48.28|-21 01 26.6|EA        | 8.320|54182.62200|    1.9632606000|B8V              |            |MP    CMa
MR CMa    |x|07 15 58.70|-17 54 06.2|ACV       | 9.040|           |    1.6402900000|Ap(Si)           |            |MR    CMa
MU CMa    |x|07 18 09.64|-15 37 42.0|ACYG      | 8.940|           |    2.6900000000|B5Ib             |            |MU    CMa
MV CMa    |x|07 18 09.91|-30 05 04.5|EB        | 9.690|53792.70060|    1.3112483000|A1IV             |            |MV    CMa
MW CMa    |x|07 18 38.51|-29 17 45.0|ACV       | 8.670|           |    1.6437600000|Ap(Si)           |            |MW    CMa
MX CMa    |*|07 19 12.77|-24 57 20.5|EB        | 6.730|48501.67420|    2.4859900000|B2V              |            |MX    CMa
NR CMa    |x|07 27 07.99|-17 51 53.5|DSCTC     | 5.670|           |    0.1662490000|F2V              |            |NR    CMa
NS CMa    |*|06 29 09.52|-31 15 33.4|EA        |14.020|54138.00300|    2.8889050000|                 |            |NS    CMa
NZ CMa    |x|06 42 23.25|-22 21 38.4|LPB       | 8.820|           |    1.1200000000|B9.5III          |            |NZ    CMa
OS CMa    |x|07 09 33.37|-16 14 04.2|ACYG      | 6.040|           |    2.6900000000|B1Ib/II          |            |OS    CMa
QU CMa    |*|07 13 54.56|-25 49 20.3|EB        |11.580|54806.74800|    0.6388271000|                 |            |QU    CMa
QX CMa    |*|07 18 34.41|-24 57 27.1|LPB:      |11.130|           |    0.5130000000|                 |            |QX    CMa
QY CMa    |x|07 18 38.81|-24 56 15.6|DSCTC:    |10.590|           |    0.0600000000|B8III/IV         |            |QY    CMa
V0358 CMa |x|07 20 22.37|-23 43 56.5|WR:       |13.900|           |    0.2270000000|WN4/WC           |            |V0358 CMa
V0360 CMa |x|06 15 07.59|-14 55 04.4|RRAB      |12.000|53744.70800|    0.6663280000|                 |            |V0360 CMa
V0375 CMa |x|06 52 05.73|-13 29 56.5|EA        |12.070|51920.65500|    2.3540000000|                 |            |V0375 CMa
V0378 CMa |x|06 57 14.05|-31 24 58.1|EB        |10.600|52967.75700|    0.8779120000|                 |            |V0378 CMa
V0388 CMa |*|07 06 07.41|-12 57 07.9|EA        | 8.250|53067.65100|    2.9826000000|B3V              |            |V0388 CMa
V0391 CMa |x|07 09 46.18|-20 05 35.2|EA        |10.060|51922.66000|    1.7569000000|                 |            |V0391 CMa
V0397 CMa |x|07 15 18.25|-16 16 12.0|EA        |11.130|52215.79500|    2.5315300000|                 |            |V0397 CMa
V0398 CMa |x|07 23 34.65|-31 17 59.8|EA        | 7.980|47912.72900|    2.1985150000|B9III            |            |V0398 CMa
V0399 CMa |x|06 12 55.84|-14 40 06.0|RRC       |11.700|51869.82000|    0.3201020000|                 |            |V0399 CMa
V0405 CMa |x|06 24 26.24|-20 44 54.2|EW        |10.640|51868.23100|    0.3846920000|                 |            |V0405 CMa
V0414 CMa |x|06 34 42.62|-15 46 38.8|RRAB      |13.000|53816.62160|    0.4085880000|                 |            |V0414 CMa
V0415 CMa |*|06 36 41.06|-22 36 53.0|EA        | 6.340|48401.48400|    1.9857100000|B5V              |            |V0415 CMa
V0416 CMa |*|06 52 32.02|-25 33 30.3|EW        | 8.610|51868.24700|    0.4186390000|F6V              |            |V0416 CMa
V0419 CMa |x|07 09 22.55|-16 20 30.8|EB        |12.850|54526.63000|    1.2728800000|                 |            |V0419 CMa
V0429 CMa |x|06 38 47.58|-31 07 56.2|EW        |13.050|54844.31900|    0.7067650000|                 |            |V0429 CMa
V0430 CMa |x|06 39 35.62|-15 59 47.8|EW        |13.200|54213.49600|    0.3205970000|                 |            |V0430 CMa
V0431 CMa |x|06 48 19.14|-15 06 10.3|EA        |13.300|54157.66900|    1.1616500000|                 |            |V0431 CMa
V0432 CMa |*|06 50 10.11|-13 52 45.0|EA        |12.400|54842.74100|    1.8238810000|                 |            |V0432 CMa
V0433 CMa |x|06 51 20.20|-11 13 45.0|EW        |12.750|54463.79400|    0.3742490000|                 |            |V0433 CMa
V0438 CMa |x|06 16 02.43|-14 26 04.0|EB        |13.200|54588.46000|    0.4724860000|                 |            |V0438 CMa
V0439 CMa |x|06 18 14.89|-14 41 09.3|EW        |13.100|54595.50600|    0.2826370000|                 |            |V0439 CMa
V0440 CMa |x|06 19 21.38|-15 50 36.7|EW        |12.550|54353.91200|    0.3559040000|                 |            |V0440 CMa
V0441 CMa |*|06 28 21.21|-12 51 33.1|GDOR      | 8.840|           |    1.9313730000|F0               |            |V0441 CMa
V0442 CMa |*|06 54 33.95|-11 23 29.5|GDOR      | 8.410|           |    1.7053130000|F2V              |            |V0442 CMa
V0444 CMa |x|07 11 48.43|-13 08 51.7|EW        |13.300|54432.77400|    0.3942350000|                 |            |V0444 CMa
V0445 CMa |*|07 17 29.51|-15 36 11.5|EA        |12.580|53088.71000|    2.6385400000|                 |            |V0445 CMa
V0446 CMa |x|07 19 14.80|-19 54 24.4|ACV:      |11.570|54841.41000|    1.6912000000|                 |            |V0446 CMa
V0447 CMa |x|07 20 18.30|-19 42 47.2|EW        |11.510|57096.90770|    0.8589500000|                 |            |V0447 CMa
V0448 CMa |x|07 21 28.20|-14 37 18.9|EW        |12.930|54426.80400|    0.3694840000|                 |            |V0448 CMa
V0449 CMa |x|07 23 33.13|-15 54 13.3|EB        |12.220|54176.63000|    1.0715450000|                 |            |V0449 CMa
bet CMa   |*|06 22 41.98|-17 57 21.3|BCEP      | 1.870|           |    0.2513000000|B1II-III         |            |bet   CMa
iot CMa   |*|06 56 08.22|-17 03 15.3|BCEP:     | 4.360|           |    1.4000000000|B3II-III         |            |iot   CMa
ksi 1 CMa |x|06 31 51.37|-23 25 06.3|BCEP      | 4.230|           |    0.2095770000|B1III            |            |ksi 1 CMa
tau CMa   |*|07 18 42.49|-24 57 15.8|EB        | 4.310|48501.10210|    1.2821400000|O9Ib             |            |tau   CMa
X CMi     |*|07 21 44.67|+02 21 26.0|RRAB      |12.200|52631.84300|    0.5713970000|F5-F6            |            |X     CMi
Y CMi     |*|07 26 47.01|+01 53 14.7|RRAB      |13.600|57322.13700|    0.4865900000|                 |            |Y     CMi
RS CMi    |x|07 38 50.77|+03 00 27.7|EA        |13.800|25242.56500|    2.4967100000|                 |            |RS    CMi
RV CMi    |x|07 21 50.61|+04 14 40.4|RRAB      |12.540|53029.67300|    0.6254470000|                 |            |RV    CMi
TT CMi    |x|07 37 01.99|+05 33 15.9|EA        |14.000|54373.88700|    0.8455284000|                 |            |TT    CMi
TX CMi    |x|07 40 20.04|+04 42 39.6|EW        |13.600|54491.71600|    0.3892180000|                 |            |TX    CMi
TY CMi    |x|07 40 52.94|+02 52 28.7|EA        |12.700|53789.71900|    1.2991170000|                 |            |TY    CMi
TZ CMi    |x|07 41 12.82|+06 54 24.1|EA        |13.400|54850.33000|    1.7768140000|                 |            |TZ    CMi
UZ CMi    |x|07 50 51.76|+03 39 03.5|EW        |11.300|53446.62900|    0.5513633000|F8               |            |UZ    CMi
XZ CMi    |*|07 54 07.06|+03 39 20.3|EB        | 9.900|56336.98530|    0.5788118000|F0               |            |XZ    CMi
YY CMi    |x|08 06 38.56|+01 55 46.5|EB        | 8.460|53825.61600|    1.0940208000|F6Vn             |            |YY    CMi
AA CMi    |*|07 17 19.17|+01 43 40.1|RRAB      |11.010|36576.43500|    0.4763231000|A6               |            |AA    CMi
AC CMi    |x|07 29 50.09|+10 36 56.3|EA        |11.300|54154.59400|    0.8672176000|F5               |            |AC    CMi
AD CMi    |x|07 52 47.18|+01 35 50.5|DSCT      | 9.210|53478.47140|    0.1229746000|F0III-F3III      |            |AD    CMi
AG CMi    |*|07 08 36.04|+06 14 25.9|EA        |11.000|54571.53000|    1.6645080000|F4               |            |AG    CMi
AH CMi    |*|07 10 44.96|+10 59 08.6|RRC:      |12.700|53426.60400|    0.3461637000|                 |            |AH    CMi
AK CMi    |x|07 40 15.60|+03 57 09.4|EA        |10.520|54972.48300|    0.5658966000|A5V              |            |AK    CMi
AL CMi    |*|07 48 57.06|+05 38 11.2|RRAB      |11.520|54866.70000|    0.5505117000|                 |            |AL    CMi
AM CMi    |*|07 50 18.14|+01 57 19.2|EB        |10.220|54233.53600|    1.0191990000|                 |            |AM    CMi
AN CMi    |x|07 09 09.15|+01 42 10.6|EA        |14.000|55923.42600|    1.8222718000|                 |            |AN    CMi
AP CMi    |x|07 24 42.57|-00 07 20.4|EA        |11.780|54227.51200|    2.1628184000|                 |            |AP    CMi
AV CMi    |x|07 09 10.85|+12 11 19.0|EA        |11.440|52977.72800|    2.2777570000|                 |            |AV    CMi
AZ CMi    |x|07 44 07.63|+02 24 19.5|DSCTC     | 6.440|           |    0.0952050000|F0V              |            |AZ    CMi
BB CMi    |*|07 51 24.55|+04 54 39.2|EB        |10.060|54408.84000|    0.7928587000|A5               |            |BB    CMi
BF CMi    |x|07 30 18.94|+04 31 21.9|EA        |10.700|53057.66400|    2.3613565000|                 |            |BF    CMi
BH CMi    |*|08 02 36.44|+01 43 50.2|EW        |10.060|52628.71700|    0.5592490000|                 |            |BH    CMi
BI CMi    |*|08 05 31.71|+02 09 31.7|DSCT      | 9.190|           |    0.1212800000|F2               |            |BI    CMi
BU CMi    |*|07 58 05.90|+07 12 48.7|EA        | 6.440|54163.60310|    2.9399600000|A0V              |            |BU    CMi
BV CMi    |x|07 58 45.18|+05 37 23.8|EA        | 6.920|54246.47340|    2.6824000000|B9               |            |BV    CMi
BX CMi    |x|07 10 46.29|+07 53 50.3|EA        |10.810|56654.30300|    1.5350920000|                 |            |BX    CMi
BZ CMi    |x|07 11 52.57|+04 04 05.0|EA        |11.510|51919.82700|    2.5459570000|                 |            |BZ    CMi
CW CMi    |x|07 50 45.50|-00 00 11.4|EW        |10.900|55559.92200|    0.3131932000|                 |            |CW    CMi
CX CMi    |x|07 13 34.14|+10 15 12.9|EB        |11.380|52734.49800|    1.1219710000|                 |            |CX    CMi
CZ CMi    |x|07 16 57.32|+09 12 35.5|EW        |10.650|54133.64820|    0.4263963000|                 |            |CZ    CMi
DD CMi    |x|07 48 58.22|+00 39 43.0|GDOR      | 7.500|           |    0.7130000000|F2               |            |DD    CMi
DE CMi    |*|08 09 58.47|+01 01 13.8|DSCTC     | 7.960|           |    0.0884740000|F0               |            |DE    CMi
DG CMi    |x|07 18 33.38|+09 29 39.7|EA        |11.940|53113.57000|    0.9936900000|                 |            |DG    CMi
DO CMi    |*|07 12 19.41|+09 21 02.7|DSCT      |10.540|           |    0.1945000000|                 |            |DO    CMi
DQ CMi    |x|07 20 38.50|+06 40 55.4|RRAB      |11.700|53031.62630|    0.6158300000|                 |            |DQ    CMi
DS CMi    |x|07 25 18.96|-00 04 59.9|EW        |11.600|52786.45260|    0.6493500000|                 |            |DS    CMi
DT CMi    |x|07 28 16.09|+09 49 26.4|RRAB      |13.500|52685.62740|    0.5897990000|                 |            |DT    CMi
DX CMi    |x|07 46 53.22|+00 35 44.2|EA        |12.050|55608.65740|    2.3031780000|                 |            |DX    CMi
DZ CMi    |x|07 50 58.43|+06 59 33.9|RRAB      |13.500|52388.81000|    0.4632010000|                 |            |DZ    CMi
EF CMi    |x|07 52 50.41|+00 14 10.4|RRC:      |12.200|52026.52490|    0.1984850000|                 |            |EF    CMi
EG CMi    |x|07 53 30.41|+01 18 52.7|EW        |13.200|52667.78300|    0.5336200000|                 |            |EG    CMi
EI CMi    |x|07 57 06.27|+01 17 19.9|EW        |13.000|53478.47140|    0.3625380000|                 |            |EI    CMi
EK CMi    |x|07 57 17.46|-00 05 01.1|EB        |11.850|54467.71740|    0.6607500000|                 |            |EK    CMi
EL CMi    |x|07 59 46.82|+00 21 06.6|EA        |11.800|53871.50510|    1.0538300000|                 |            |EL    CMi
EP CMi    |x|08 10 00.91|+00 10 21.9|EB        |12.200|53733.80000|    2.7255000000|                 |            |EP    CMi
EQ CMi    |x|08 10 44.72|+01 03 30.3|EW        |13.000|53660.85090|    0.4795360000|                 |            |EQ    CMi
ET CMi    |x|07 09 20.83|+12 12 14.0|EW        |12.800|54107.60420|    0.4358980000|                 |            |ET    CMi
EU CMi    |x|07 12 14.13|+08 40 10.1|EW        |12.700|53759.56000|    0.4438590000|                 |            |EU    CMi
EV CMi    |x|07 13 10.92|+02 24 25.8|EW:       |13.700|53818.54100|    0.2896060000|                 |            |EV    CMi
EW CMi    |x|07 17 35.49|+07 04 12.3|EW        |13.300|53743.68800|    0.2746500000|                 |            |EW    CMi
EX CMi    |x|07 24 21.51|+11 27 42.6|EW        |12.150|54810.76500|    0.2868410000|                 |            |EX    CMi
FI CMi    |x|07 36 00.53|+03 16 48.5|BY        |12.300|           |    2.7530000000|                 |            |FI    CMi
FM CMi    |x|07 55 29.96|+01 25 02.1|EB        |11.100|54200.60100|    0.7467130000|                 |            |FM    CMi
FN CMi    |x|07 07 01.05|+06 34 59.4|EB        |12.550|54917.58700|    0.8258550000|                 |            |FN    CMi
FP CMi    |x|07 18 23.04|+09 02 24.4|EB        |12.720|54125.75400|    0.5820700000|                 |            |FP    CMi
FQ CMi    |x|07 25 44.52|-00 07 41.0|EA        |13.600|54188.60000|    0.8260600000|                 |            |FQ    CMi
FR CMi    |x|07 27 08.10|+09 16 39.4|EW        |11.950|54828.71600|    0.3068530000|                 |            |FR    CMi
FS CMi    |x|07 37 58.50|+05 52 27.6|DSCT      |12.700|54582.52900|    0.0474184600|                 |            |FS    CMi
FT CMi    |x|07 41 42.34|+07 29 25.8|EW        |12.160|52396.71300|    0.3017360000|                 |            |FT    CMi
FU CMi    |x|07 42 04.97|+00 44 08.9|EW        |13.500|55092.90300|    0.5592300000|                 |            |FU    CMi
FV CMi    |x|07 53 10.33|+04 25 36.7|EW        |12.500|54565.62700|    0.3212880000|                 |            |FV    CMi
FW CMi    |x|07 59 31.90|+05 08 07.2|EB        |12.460|55623.71120|    0.4755090000|                 |            |FW    CMi
FY CMi    |x|08 05 45.54|+02 03 01.7|EB        |12.700|55228.39400|    0.4195900000|                 |            |FY    CMi
RV Cap    |*|21 01 28.87|-15 13 46.1|RRAB      |10.220|52134.65000|    0.4477465000|A7-F4            |            |RV    Cap
RZ Cap    |x|20 38 30.09|-12 01 06.0|RRAB      |13.300|52957.58000|    0.4010064000|                 |            |RZ    Cap
SX Cap    |x|20 28 40.33|-12 28 31.8|RRAB      |12.200|53525.79800|    0.6671120000|                 |            |SX    Cap
TY Cap    |*|20 24 29.69|-12 57 55.4|EA        |10.300|54797.51700|    1.4234624000|A2/3V            |            |TY    Cap
TZ Cap    |x|20 49 33.97|-14 34 42.9|RRAB      |13.000|52511.63200|    0.5410100000|                 |            |TZ    Cap
UV Cap    |x|21 44 41.41|-17 12 34.1|RRAB      |13.000|54384.64000|    0.6613047000|F0-F5            |            |UV    Cap
UW Cap    |*|20 20 51.27|-10 30 54.9|EA        |10.770|52199.55640|    0.6995606000|                 |            |UW    Cap
UX Cap    |x|20 54 03.32|-17 27 52.0|RRAB      |13.450|53610.09000|    0.6255178000|                 |            |UX    Cap
UZ Cap    |x|20 56 35.61|-15 39 49.3|RRAB      |14.040|54760.91600|    0.5328195000|                 |            |UZ    Cap
VV Cap    |*|20 59 17.08|-18 08 02.4|RRAB      |13.900|54619.91600|    0.5017830000|                 |            |VV    Cap
VW Cap    |x|21 04 11.03|-17 26 56.4|RRC       |13.200|53511.85400|    0.3142720000|                 |            |VW    Cap
VX Cap    |*|21 06 22.45|-18 49 39.8|CWB       |14.170|56422.24800|    1.3275486000|                 |            |VX    Cap
WY Cap    |*|21 12 44.65|-17 24 26.5|RRAB      |13.750|56463.92800|    0.4656268000|                 |            |WY    Cap
WZ Cap    |x|21 23 17.44|-15 10 52.0|EW        |13.190|53561.83000|    0.3130887000|                 |            |WZ    Cap
YZ Cap    |*|21 19 32.41|-15 07 01.1|RRC       |11.020|54951.88500|    0.2734581000|A5-A7            |            |YZ    Cap
AD Cap    |x|21 39 48.92|-16 00 21.0|EB:/RS    | 9.620|52202.53000|    2.9591714000|K0IV/V           |            |AD    Cap
AL Cap    |x|20 37 31.55|-15 37 22.0|RRAB      |12.700|54796.55200|    0.6811770000|                 |            |AL    Cap
AN Cap    |*|20 32 47.39|-26 33 23.4|RRAB      |12.200|52884.71500|    0.7131076000|                 |            |AN    Cap
AO Cap    |x|20 59 36.14|-19 02 07.0|ACV       | 6.210|           |    2.2409800000|B9p(Si)          |            |AO    Cap
AP Cap    |x|21 47 36.42|-17 17 41.1|ACV       | 7.600|           |    2.6700000000|B9IIIp(Si)       |            |AP    Cap
AQ Cap    |x|21 03 16.49|-18 41 55.6|EW        |12.600|54277.78240|    0.3173870000|                 |            |AQ    Cap
AR Cap    |x|20 09 41.98|-18 20 48.0|ACV       | 8.080|           |    1.6234500000|Ap(Si)           |            |AR    Cap
BD Cap    |x|20 10 06.75|-25 17 02.4|DSCTC     | 7.510|           |    0.1602220000|A9III            |            |BD    Cap
BF Cap    |x|20 18 28.57|-19 17 29.4|EB        | 8.820|48500.02600|    0.5326760000|F0V              |            |BF    Cap
BH Cap    |x|20 27 08.49|-11 32 50.5|ELL:      | 7.900|52821.75500|    1.0780620000|F0               |            |BH    Cap
BL Cap    |x|20 42 39.77|-18 06 34.8|ELL       | 7.290|54771.53010|    1.6554450000|F2IV/V           |            |BL    Cap
BQ Cap    |x|21 37 36.15|-20 25 54.9|EA        | 8.000|53294.61100|    1.4740844000|F3V              |            |BQ    Cap
CL Cap    |x|20 18 26.77|-18 58 19.7|EW        |12.900|52508.70200|    0.3911800000|                 |            |CL    Cap
CM Cap    |x|20 19 49.59|-12 30 38.1|EW        | 9.720|56126.10840|    0.4188988000|F8/G0V           |            |CM    Cap
CP Cap    |x|21 25 59.29|-15 03 04.9|RRC       |12.900|53123.91500|    0.3440200000|                 |            |CP    Cap
CQ Cap    |x|21 26 32.73|-17 52 42.5|EB        | 8.820|54591.90000|    0.6908052000|A9V              |            |CQ    Cap
CR Cap    |*|21 27 21.17|-19 07 59.1|RR(B)     |12.900|53172.82200|    0.3520600000|                 |            |CR    Cap
CV Cap    |x|20 19 08.43|-16 48 00.1|EW        |13.600|53890.93150|    0.3219635000|                 |            |CV    Cap
CY Cap    |x|20 28 42.28|-09 43 17.0|RS        | 9.250|           |    2.4020000000|G5               |            |CY    Cap
CZ Cap    |x|20 32 24.40|-11 25 16.9|RRAB      |13.230|53704.55800|    0.6850800000|                 |            |CZ    Cap
DE Cap    |x|20 35 10.28|-19 14 10.6|EW        |13.450|54348.68400|    0.3927448000|                 |            |DE    Cap
DH Cap    |x|21 11 55.47|-21 09 41.5|RRAB      |13.200|55861.60900|    0.4693638000|                 |            |DH    Cap
DK Cap    |x|21 35 13.34|-13 33 22.6|RPHS      |12.900|           |    0.0457000000|sdB              |            |DK    Cap
DL Cap    |x|21 39 02.03|-21 12 45.8|RRAB      |11.900|53279.67600|    0.6618600000|                 |            |DL    Cap
DQ Cap    |*|20 30 41.77|-23 57 21.8|RRAB      |13.600|53693.92900|    0.6085882000|                 |            |DQ    Cap
DR Cap    |x|20 31 44.92|-21 58 46.3|RRC       |11.250|54798.54000|    0.3107152000|                 |            |DR    Cap
DS Cap    |x|20 34 19.54|-25 08 54.0|RRAB      |11.650|54754.67000|    0.5262389000|                 |            |DS    Cap
DT Cap    |x|20 36 37.64|-24 05 37.4|RRAB      |13.900|54769.57000|    0.4677629000|                 |            |DT    Cap
DU Cap    |x|20 39 11.99|-21 24 49.7|RRAB      |13.700|55040.85900|    0.6103464000|                 |            |DU    Cap
DV Cap    |x|20 44 39.92|-24 02 42.8|RRC       |12.700|54931.88900|    0.2053330000|                 |            |DV    Cap
DX Cap    |x|21 49 35.23|-23 30 19.1|RRC       |14.000|53935.11800|    0.2675810000|                 |            |DX    Cap
DZ Cap    |x|20 07 56.55|-16 34 08.1|EW        |11.490|57186.64900|    0.2225290000|                 |            |DZ    Cap
EK Cap    |x|20 13 41.44|-13 29 27.2|DSCT      |11.850|57660.79850|    0.0661776000|                 |            |EK    Cap
EM Cap    |*|20 18 08.71|-23 14 44.8|EW        |14.050|57928.00000|    0.2278145000|                 |            |EM    Cap
EQ Cap    |x|20 45 43.03|-22 51 40.0|EA        |10.750|58261.60900|    2.3843500000|                 |            |EQ    Cap
EU Cap    |x|20 55 20.72|-21 52 27.5|RRAB      |13.930|57907.86200|    0.5297655000|                 |            |EU    Cap
EZ Cap    |x|21 18 50.79|-19 09 35.9|EW        |13.600|57870.82400|    0.3075084000|                 |            |EZ    Cap
FP Cap    |*|21 40 22.13|-23 10 43.3|RRC       |13.800|55779.84510|    0.3433790000|                 |            |FP    Cap
FU Cap    |*|21 40 23.67|-23 11 01.5|SXPXE:    |14.110|           |    0.0599540000|                 |            |FU    Cap
gam Cap   |x|21 40 05.46|-16 39 44.3|ACV:      | 3.200|           |    2.7800000000|A7mp             |            |gam   Cap
del Cap   |x|21 47 02.44|-16 07 38.2|EA        | 2.810|35656.91300|    1.0227688000|A7mIII           |            |del   Cap
X Car     |x|08 31 16.80|-59 13 37.3|EB        | 7.800|53443.67800|    1.0826311000|A0V              |            |X     Car
ST Car    |x|10 15 53.13|-60 12 55.0|EB        | 9.560|52980.77900|    0.9016495000|A0IV             |            |ST    Car
TX Car    |x|10 58 58.15|-59 04 57.1|RRAB      |12.030|54774.85800|    0.6011301000|                 |            |TX    Car
YY Car    |x|10 20 09.08|-61 26 33.7|EA        |13.100|53465.58300|    2.6427360000|                 |            |YY    Car
AS Car    |x|10 24 23.51|-60 14 57.2|EA        |11.540|53585.46700|    2.7659595000|                 |            |AS    Car
